epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8669,2.07743,4.62359,2.82261,0.0035,0.93333,0.10461,0.03769,1.46237,3.15205,2.46653,0.00011432,0.00011432,0.00011432
2,18.1522,1.58614,4.34843,2.50841,0.00346,0.93333,0.12198,0.05176,1.51063,3.10997,2.47862,0.000238922,0.000238922,0.000238922
3,21.0907,1.85639,4.24158,2.54839,0.00344,0.93333,0.15,0.07885,1.5286,3.12311,2.42333,0.000359279,0.000359279,0.000359279
4,23.7878,1.65332,4.41602,2.59831,0.00344,0.93333,0.15,0.07885,1.5286,3.12311,2.42333,0.000475393,0.000475393,0.000475393
5,26.4849,1.36232,4.03308,2.45042,0.00345,0.93333,0.24575,0.14115,1.44516,3.07236,2.44905,0.000587262,0.000587262,0.000587262
6,29.2843,1.74704,4.15403,2.49684,0.00337,0.93333,0.33841,0.15863,1.40024,2.98065,2.3468,0.000694887,0.000694887,0.000694887
7,31.854,1.51119,3.45173,2.46169,0.00337,0.93333,0.33841,0.15863,1.40024,2.98065,2.3468,0.000798268,0.000798268,0.000798268
8,34.4261,1.49404,3.977,2.31552,0.00337,0.93333,0.33841,0.15863,1.40024,2.98065,2.3468,0.000897405,0.000897405,0.000897405
9,37.0852,1.60962,3.65597,2.31479,0.59277,0.48687,0.37995,0.21017,1.55234,2.5794,2.34844,0.000992298,0.000992298,0.000992298
10,39.7771,1.46658,3.21782,2.19397,0.59277,0.48687,0.37995,0.21017,1.55234,2.5794,2.34844,0.00108295,0.00108295,0.00108295
11,42.4115,1.38823,3.37373,2.13154,0.59277,0.48687,0.37995,0.21017,1.55234,2.5794,2.34844,0.00116935,0.00116935,0.00116935
12,45.1753,1.31549,3.15022,2.02007,0.59277,0.48687,0.37995,0.21017,1.55234,2.5794,2.34844,0.00116964,0.00116964,0.00116964
13,48.2832,1.27555,3.30563,2.0768,0.68802,0.4,0.49589,0.33028,1.90024,2.77764,2.639,0.00114606,0.00114606,0.00114606
14,50.8777,1.33245,3.26775,2.0958,0.68802,0.4,0.49589,0.33028,1.90024,2.77764,2.639,0.00112248,0.00112248,0.00112248
15,53.5077,1.36165,3.06331,2.00547,0.68802,0.4,0.49589,0.33028,1.90024,2.77764,2.639,0.0010989,0.0010989,0.0010989
16,55.9082,1.23794,3.09062,1.9664,0.12574,0.28889,0.163,0.05892,1.85021,2.51011,2.65066,0.00107532,0.00107532,0.00107532
17,58.3745,1.10248,2.91446,1.72049,0.12574,0.28889,0.163,0.05892,1.85021,2.51011,2.65066,0.00105174,0.00105174,0.00105174
18,61.2249,1.17811,2.81818,1.89655,0.12574,0.28889,0.163,0.05892,1.85021,2.51011,2.65066,0.00102817,0.00102817,0.00102817
19,63.9995,1.20854,3.09731,1.7687,0.12574,0.28889,0.163,0.05892,1.85021,2.51011,2.65066,0.00100459,0.00100459,0.00100459
20,66.6269,1.20131,3.02706,1.7744,0.10761,0.12222,0.06835,0.02018,3.2392,3.01154,4.20592,0.000981008,0.000981008,0.000981008
21,69.0642,1.24325,2.88767,1.91202,0.10761,0.12222,0.06835,0.02018,3.2392,3.01154,4.20592,0.00095743,0.00095743,0.00095743
22,71.428,1.31515,2.88884,2.00043,0.10761,0.12222,0.06835,0.02018,3.2392,3.01154,4.20592,0.000933851,0.000933851,0.000933851
23,73.9517,1.43497,2.98822,2.22357,0.19066,0.39122,0.22889,0.11652,1.77212,2.45365,2.72122,0.000910273,0.000910273,0.000910273
24,76.708,1.29799,3.02161,1.79601,0.19066,0.39122,0.22889,0.11652,1.77212,2.45365,2.72122,0.000886694,0.000886694,0.000886694
25,79.3602,1.18488,2.61931,1.84442,0.19066,0.39122,0.22889,0.11652,1.77212,2.45365,2.72122,0.000863116,0.000863116,0.000863116
26,83.0448,1.23491,2.96291,1.76218,0.19066,0.39122,0.22889,0.11652,1.77212,2.45365,2.72122,0.000839537,0.000839537,0.000839537
27,85.9127,1.10023,2.97034,1.80821,0.45143,0.33333,0.16032,0.06425,1.54323,2.51592,2.44307,0.000815959,0.000815959,0.000815959
28,88.5271,1.14506,2.68933,1.75331,0.45143,0.33333,0.16032,0.06425,1.54323,2.51592,2.44307,0.00079238,0.00079238,0.00079238
29,91.5043,1.29912,2.78234,1.84373,0.45143,0.33333,0.16032,0.06425,1.54323,2.51592,2.44307,0.000768802,0.000768802,0.000768802
30,93.9623,1.23739,2.79715,1.95751,0.45143,0.33333,0.16032,0.06425,1.54323,2.51592,2.44307,0.000745223,0.000745223,0.000745223
31,96.4684,1.11816,2.76564,1.79565,0.5787,0.28889,0.22009,0.07794,1.90366,2.98499,2.61202,0.000721645,0.000721645,0.000721645
32,98.9212,1.02072,2.61245,1.73067,0.5787,0.28889,0.22009,0.07794,1.90366,2.98499,2.61202,0.000698066,0.000698066,0.000698066
33,101.35,1.12056,2.6413,1.66481,0.5787,0.28889,0.22009,0.07794,1.90366,2.98499,2.61202,0.000674488,0.000674488,0.000674488
34,104.015,1.02594,2.52955,1.65357,0.15594,0.3,0.18451,0.07284,1.86886,3.18195,2.69412,0.000650909,0.000650909,0.000650909
35,106.936,1.20384,2.73113,1.70392,0.15594,0.3,0.18451,0.07284,1.86886,3.18195,2.69412,0.000627331,0.000627331,0.000627331
36,109.661,1.20762,2.57913,1.79423,0.15594,0.3,0.18451,0.07284,1.86886,3.18195,2.69412,0.000603752,0.000603752,0.000603752
37,112.235,1.00248,2.60377,1.67766,0.15594,0.3,0.18451,0.07284,1.86886,3.18195,2.69412,0.000580174,0.000580174,0.000580174
38,114.961,1.26826,2.5708,1.89228,0.2531,0.65932,0.34445,0.19557,1.46184,2.52859,2.20889,0.000556595,0.000556595,0.000556595
39,117.676,1.05859,2.45535,1.75626,0.2531,0.65932,0.34445,0.19557,1.46184,2.52859,2.20889,0.000533017,0.000533017,0.000533017
40,120.549,0.92149,2.42227,1.69186,0.2531,0.65932,0.34445,0.19557,1.46184,2.52859,2.20889,0.000509438,0.000509438,0.000509438
41,123.277,0.89546,2.31613,1.5306,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.00048586,0.00048586,0.00048586
42,125.917,0.9064,2.45444,1.60745,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000462281,0.000462281,0.000462281
43,128.696,0.86361,2.37054,1.45292,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000438703,0.000438703,0.000438703
44,131.497,0.98567,2.52393,1.62495,0.27218,0.72787,0.36425,0.20724,1.49633,2.29892,2.17603,0.000415124,0.000415124,0.000415124
45,134.494,0.93053,2.47188,1.61792,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000391546,0.000391546,0.000391546
46,137.339,0.90201,2.17387,1.52234,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000367967,0.000367967,0.000367967
47,140.033,1.02956,2.55492,1.6222,0.25442,0.42222,0.34733,0.22953,1.37556,2.24108,2.04143,0.000344389,0.000344389,0.000344389
