epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.841,2.36284,2.97072,2.2957,0.24572,0.19547,0.11313,0.03203,2.52628,2.8871,2.69789,0.000661871,0.000661871,0.000661871
2,61.8661,2.25442,2.7509,2.1675,0.0995,0.13684,0.09689,0.0279,2.43712,2.7448,2.46697,0.00129566,0.00129566,0.00129566
3,93.0029,2.23147,2.79993,2.23386,0.17479,0.29825,0.11612,0.03613,2.4601,3.02428,2.71918,0.00189644,0.00189644,0.00189644
4,123.044,2.26157,2.68544,2.2127,0.18599,0.29123,0.11551,0.03488,2.39729,3.24693,2.46539,0.0018515,0.0018515,0.0018515
5,152.073,2.23667,2.65824,2.19338,0.20725,0.30526,0.14359,0.03937,2.43056,2.56966,2.30024,0.001802,0.001802,0.001802
6,180.728,2.16756,2.53883,2.10826,0.26485,0.18077,0.12045,0.03902,2.36448,4.22753,2.41969,0.0017525,0.0017525,0.0017525
7,210.028,2.16354,2.64004,2.13871,0.19568,0.31072,0.15653,0.04758,2.35925,2.61547,2.37098,0.001703,0.001703,0.001703
8,237.235,2.14075,2.57021,2.12455,0.20306,0.24912,0.138,0.04181,2.35636,2.64355,2.31284,0.0016535,0.0016535,0.0016535
9,265.931,2.14356,2.52634,2.0973,0.24951,0.34737,0.19431,0.06413,2.26087,2.49349,2.20555,0.001604,0.001604,0.001604
10,294.31,2.10722,2.4524,2.08491,0.40738,0.2386,0.26959,0.08518,2.2406,2.52731,2.18818,0.0015545,0.0015545,0.0015545
11,323.769,2.15267,2.47841,2.11326,0.35808,0.27719,0.25401,0.07746,2.30948,2.37518,2.27523,0.001505,0.001505,0.001505
12,353.629,2.07998,2.44195,2.08727,0.31097,0.32281,0.24045,0.08332,2.16432,2.34944,2.147,0.0014555,0.0014555,0.0014555
13,382.851,2.0528,2.37619,2.03728,0.26088,0.36491,0.24211,0.09057,2.16692,2.30546,2.16278,0.001406,0.001406,0.001406
14,410.147,2.05488,2.39874,2.06579,0.34487,0.41754,0.26805,0.09217,2.09488,2.47312,2.11092,0.0013565,0.0013565,0.0013565
15,442.021,2.0392,2.30777,2.01599,0.27809,0.41754,0.24512,0.0841,2.07999,2.15587,2.04114,0.001307,0.001307,0.001307
16,472.923,1.92821,2.21451,1.92854,0.44385,0.34737,0.32617,0.11715,2.03674,2.24538,2.04378,0.0012575,0.0012575,0.0012575
